year	region	drunk
1934	1	10.7
1934	2	3.3
1934	3	13.1
1934	4	11.4
1934	5	14.0
1934	6	5.1
1934	7	3.2
1935	1	10.9
1935	2	8.8
1935	3	12.8
1935	4	12.3
1935	5	15.7
1935	6	4.5
1935	7	4.5
1936	1	12.6
1936	2	10.4
1936	3	15.1
1936	4	14.5
1936	5	17.4
1936	6	6.0
1936	7	5.9
1937	1	12.3
1937	2	10.9
1937	3	14.8
1937	4	14.8
1937	5	18.6
1937	6	7.0
1937	7	5.9
1938	1	11.0
1938	2	9.8
1938	3	15.2
1938	4	12.8
1938	5	17.3
1938	6	6.8
1938	7	3.9
1939	1	11.2
1939	2	10.1
1939	3	15.3
1939	4	13.5
1939	5	18.0
1939	6	7.0
1939	7	4.1
1940	1	11.0
1940	2	9.9
1940	3	14.9
1940	4	13.2
1940	5	17.6
1940	6	6.9
1940	7	4.1
1941	1	11.8
1941	2	10.3
1941	3	15.4
1941	4	14.7
1941	5	19.4
1941	6	5.3
1941	7	5.9
1942	1	14.3
1942	2	12.4
1942	3	15.9
1942	4	16.1
1942	5	20.7
1942	6	10.2
1942	7	7.3
1943	1	15.1
1943	2	13.1
1943	3	19.5
1943	4	19.3
1943	5	23.1
1943	6	11.0
1943	7	8.5
1944	1	16.6
1944	2	15.2
1944	3	21.5
1944	4	20.5
1944	5	25.9
1944	6	11.3
1944	7	9.0
1945	1	17.4
1945	2	15.0
1945	3	22.5
1945	4	21.1
1945	5	27.1
1945	6	12.5
1945	7	9.8
1946	1	15.9
1946	2	14.5
1946	3	21.4
1946	4	19.0
1946	5	26.2
1946	6	11.5
1946	7	9.2
1947	1	17.5
1947	2	16.1
1947	3	23.6
1947	4	20.9
1947	5	24.7
1947	6	14.0
1947	7	9.4
1948	1	16.3
1948	2	16.1
1948	3	23.1
1948	4	20.1
1948	5	24.0
1948	6	13.7
1948	7	9.4
1949	1	15.8
1949	2	14.8
1949	3	22.3
1949	4	19.7
1949	5	23.4
1949	6	13.5
1949	7	8.7
1950	1	15.9
1950	2	15.0
1950	3	21.6
1950	4	18.9
1950	5	22.9
1950	6	13.8
1950	7	9.2
1951	1	15.7
1951	2	15.0
1951	3	21.2
1951	4	18.9
1951	5	22.5
1951	6	13.8
1951	7	9.5
1952	1	15.6
1952	2	15.0
1952	3	21.8
1952	4	19.0
1952	5	22.5
1952	6	13.6
1952	7	9.5
1953	1	15.4
1953	2	12.8
1953	3	21.3
1953	4	18.7
1953	5	22.2
1953	6	13.9
1953	7	9.7
1954	1	14.7
1954	2	13.6
1954	3	20.4
1954	4	18.1
1954	5	20.8
1954	6	13.8
1954	7	9.3
1955	1	14.7
1955	2	13.5
1955	3	20.3
1955	4	17.0
1955	5	21.2
1955	6	13.6
1955	7	10.1
1956	1	14.7
1956	2	13.2
1956	3	19.9
1956	4	18.1
1956	5	20.6
1956	6	13.5
1956	7	10.8
1957	1	14.7
1957	2	12.7
1957	3	18.9
1957	4	16.7
1957	5	20.2
1957	6	13.3
1957	7	12.0
1958	1	15.1
1958	2	13.0
1958	3	19.1
1958	4	15.9
1958	5	19.6
1958	6	13.2
1958	7	11.4
